Folha;N.galhas;Altura.folha
1;3;2,3
2;6;23,1
3;2;1,6
4;4;77,6
5;3;16
6;7;0,7
7;7;37,1
8;6;9,1
9;8;29,1
10;4;37,7
11;5;87,2
12;3;9,8
13;8;25,3
14;3;12,3
15;3;0,5
16;3;23,1
17;4;14,5
18;3;11,3
19;2;7
20;1;7,1
21;5;17,8
22;1;6,5
23;2;21,1
24;3;8,3
25;3;18,5
26;6;74,9
27;1;13,5
28;3;15,9
29;3;0,7
30;3;14,3
31;5;71,4
32;4;27,7
33;1;7,2
34;3;38,9
35;3;16,7
36;2;15
37;5;11,9
38;4;27,8
39;4;54,9
40;5;82,1
41;3;17,3
42;4;36
43;7;51,5
44;1;1,3
45;1;3,1
46;1;11,8
47;1;4,6
48;1;9,2
49;3;30,6
50;1;1,3
51;3;11,9
52;0;0,3
53;2;9
54;1;7,7
55;5;44,2
56;4;51
57;4;42,2
58;3;24,7
59;4;35,5
60;1;7,9
61;3;4,7
62;3;30,6
63;4;57
64;4;9,3
65;4;31,9
66;2;10
67;6;11,1
68;2;6,6
69;3;38,4
70;3;17,4
71;2;14,4
72;5;14,8
73;6;0,7
74;0;0,3
75;4;47,7
76;4;45
77;9;95,8
78;6;98,4
79;2;9,8
80;3;10,9
81;2;5,2
82;0;0,3
83;2;13
84;2;20,7
85;2;5,1
86;5;36
87;2;26,7
88;1;11,2
89;0;0,3
90;2;19,2
91;3;13
92;3;44,8
93;1;16,5
94;5;22,6
95;1;2,7
96;2;18,1
97;3;50,7
98;3;8,9
99;8;57,2
100;0;0,3
